name,bal
JABORASACCO,845
Xado East Africa,7450
BigPesa,43182
GAgenda,2
Faidisha Sacco Ltd,1371
NMK CAPITAL,124
GREENLINK,-51
Best Link Developers Ltd,24987
Assurelink Insurance Brokers,216
AFRALTI,8783
SMEP Microfinance Bank,376177
ENAIPOSHA GIRLS HIGH SCHOOL,119
ankh womens clinic,85
Omega_Optic,9789
Jays Wines,8627
Emtech House Limited,-1
Iktech,2
xxx xxx ltd,20
AFRICA FUTURE VENTURES LIMITED ,487
Kenyan Alliance Kenyaliance,-448
Dekas Group Limited,9126
NEW KPCU,58160
SMEP Bancassurance Intermediary Ltd,256053
GMK Accountants LLP,1243
ROBJUN TECHNOLOGY LIMITED,-69
Cross Gate Solutions Ltd,32532
Kibwezi Empowerment Foundation,731
Liberty Events and Contracts Scaffolding,1533
KNCCI,63274
Wazo Bora Sacco,1645
KESWEN,1705
Johari School,718
Metropol CRB,27283
Superior Hotels Kenya,541
SVANNA,1
Ajirayangu Services,3417
Digispice,508808
Go Ye Foundation,3196
Mcheza_Kenya,228732
Makueni Catholic parish,3474
Metropol portal SMS,-109
Pcarwash,6896
APPTIVATE,-300001
Lyle Kenya,19
SUAM,-22922
CHOMOAHELA2,1
PrimeWinners,-26
CHOMOAHELA3,81735
Plant_Village,-138687
Nyota Njema Real Estate Ltd,1367
Tabasamu Fibre Networks ,5856
Trident Insurance Company Ltd,-101
Metropol,-69852
BUDGET WEAR,33892
Kenyan Alliance Instapesa,10349
Ketha Technologies Limited,9419
Oyugi,19
Spesho Taxi Uganda,-3908
Ecoethics&Development ltd,2070
DIMPESA AGENCY LIMITED,72337
Hanif & Sons,5051
ORPP,169723
Aplha Credit,704
Stop One Systems,126
BACHTECH SOLUTIONS,-252
Skylab Systems Limited,3699
Mawazo Sacco,5982
All4One,14132
KEBS,350407
impact zone agencies,1250
Milelenet Networks,-611
ROODITO,638
